MeasuredFrame,FrameTime,GameThreadTime,RenderThreadTime,GPUTime,RHIThreadTime
116,31.3301,0.8630,1.9492,29.5090,0.9331
117,31.2437,0.8275,2.0676,27.4099,1.0125
118,31.3428,0.8583,2.1928,27.8358,1.0229
119,31.4125,0.9298,2.3599,31.0709,1.1271
120,31.1992,0.8767,2.1807,31.0699,1.0621
121,31.1962,0.9291,2.1776,28.0440,1.0084
122,31.3750,0.9273,2.1566,27.9642,1.1122
123,31.0734,0.7912,2.2025,29.3393,1.0784
124,31.1345,0.8734,2.0313,28.6225,1.0238
125,31.4915,0.8079,2.2825,27.7960,0.9461
126,30.9832,0.8594,1.9919,27.7397,1.0084
127,31.0745,0.7596,1.9655,28.3111,1.0287
128,31.6812,0.8350,2.0950,28.9031,1.0742
129,31.0965,0.8731,2.1054,27.7671,1.0642
130,31.4648,0.8367,2.3190,30.1752,1.0488
131,31.5611,0.9881,2.3933,30.8055,1.1672
132,30.5930,0.8800,2.1347,28.2486,1.0280
133,31.6094,0.8069,2.3347,28.1572,1.1303
134,31.1581,0.8196,2.1005,28.1390,0.9664
135,30.9588,0.7487,2.0402,28.1001,1.0152
136,31.3916,0.7753,2.1301,27.2309,1.0107
137,31.3979,0.7641,2.2640,27.6272,1.0921
138,30.9360,0.7730,2.0194,27.5561,0.9732
139,31.4340,0.7820,2.0567,28.6224,0.9938
140,31.1440,0.7828,2.0629,26.9028,1.0386
141,31.5355,0.8105,2.2254,30.1219,1.0521
142,31.3081,0.8109,2.3472,29.9047,1.0579
143,31.0623,0.8008,2.0533,28.1121,1.0170
144,31.3347,0.8309,2.1782,28.8165,1.0732
145,31.1684,0.7908,2.2125,28.0013,0.9785
146,31.3528,0.7959,2.1578,27.3257,1.0522
147,31.2907,0.8188,2.2578,29.5441,1.0776
148,30.9450,0.8828,1.9798,28.2406,1.0020
149,31.6292,0.8315,2.2802,27.3615,1.0496
150,30.8184,0.8914,2.0408,27.4227,1
151,31.2785,0.7959,2.0684,28.0895,0.9751
152,31.8455,0.9223,2.4997,30.7128,1.1044
153,31.1617,0.8345,2.4140,30.7065,1.0355
154,30.8455,0.8605,2.1257,27.8506,0.9890
155,31.2180,0.8317,2.1162,29.0827,1.0160
156,31.4241,0.8023,2.2372,27.9691,1.1052
157,30.9900,0.7968,2.0887,27.4315,1.0113
158,31.2190,0.7567,2.1830,27.1964,1.0573
159,31.4324,0.8079,2.1404,28.2768,1.0367
160,31.2013,0.7704,2.0620,28.1992,1.0434
161,31.1609,0.7820,2.1057,27.5424,1.0867
162,31.6225,0.7882,2.2012,27.1636,1.0881
163,31.6935,0.8524,2.6695,30.7205,1.3870
164,31.1710,0.8951,2.4255,31.2125,1.1793
165,30.9496,0.9582,2.3251,28.2711,1.1455
166,31.0192,0.9115,2.0908,27.4972,1.0389
167,31.3177,0.8271,2.1740,27.9476,0.9975
168,31.2739,0.8463,2.2574,29.6648,1.0255
169,31.2137,0.8993,2.2881,27.6138,1.0939
170,30.9155,0.8131,1.9876,27.9318,0.9778
171,31.4801,0.8184,2.1579,28.7473,1.0560
172,31.3046,0.8410,2.1505,28.6918,1.0317
173,31.3658,0.7579,2.2072,27.5993,1.0140
174,31.3761,0.8444,2.2830,30.2341,1.0551
175,31.2239,0.9820,2.2283,31.0473,1.0963
176,31.0641,0.8688,2.1729,29.4852,1.0186
177,31.3675,0.7946,2.2798,27.5412,1.0234
178,30.8311,0.8598,2.0690,27.8210,1.0450
179,31.2161,0.7767,1.9739,28.6834,0.9517
180,31.6472,0.8089,2.1650,28.9815,1.0429
181,31.3044,0.8240,2.2096,27.5077,1.0595
182,31.4007,0.8173,2.3714,27.7425,1.0897
183,30.8183,0.8367,1.9591,27.5562,0.9565
184,31.2880,0.8291,1.9934,28.0976,1.0355
185,32.0431,0.8213,2.6920,30.7034,1.2252
186,30.7570,0.8744,2.3921,29.7450,1.1663
187,31.0227,0.8775,2.1525,28.6876,1.0184
188,31.3507,0.8179,2.1894,27.4405,1.0324
189,31.2148,0.7456,2.3219,27.4976,1.0289
190,30.9827,0.7509,1.9904,27.2586,1.0094
191,31.3770,0.7532,2.1157,28.3029,1.0725
192,31.2827,0.7675,2.1148,27.9507,1.0742
193,31.5163,0.8140,2.2430,27.0902,1.1005
194,31.0494,0.8170,2.1310,27.6116,1.0576
195,31.1096,0.8112,2.1158,27.2425,1.0350
196,31.6556,0.7897,2.4583,30.4493,1.1879
197,31.3162,0.8855,2.3231,31.6557,1.1750
198,31.2997,0.9141,2.3195,27.7877,1.0262
199,31.1061,0.8690,2.2511,29.4121,1.0668
200,30.9753,0.9335,2.1910,28.3470,1.0575
201,31.2299,0.7630,2.1662,27.1500,0.9775
202,31.3483,0.7609,2.1962,27.4548,1.0485
203,31.1257,0.8162,2.1271,28.4851,0.9877
204,31.1473,0.8126,2.1165,27.9780,1.0364
205,31.5134,0.7211,2.2515,27.2307,1.0465
206,31.5104,0.7669,2.3218,27.3107,1.0594
207,31.4328,0.8458,2.5781,29.9851,1.1301
208,31.0348,0.8825,2.2852,31.5182,1.0381
209,31.0589,0.9134,2.3454,27.5980,1.0801
210,31.0698,0.9113,2.1035,27.5041,1.1147
211,30.9914,0.7643,2.0091,27.6389,0.9327
212,31.4809,0.8951,2.1553,28.6680,1.0219
213,31.1125,0.7851,2.0731,27.4678,1.0185
214,31.6941,0.8953,2.3689,27.5783,1.1370
215,30.9859,0.8135,2.0653,27.6695,0.9860
216,31.1840,0.7779,2.0321,28.2858,0.9411
217,31.5682,0.7716,2.3164,27.1675,1.0654
218,30.9654,0.8453,2.1676,29.9072,0.9933
219,31.6380,0.9146,2.3290,31.4126,1.0741
220,31.1676,0.9923,2.2163,29.6634,1.0198
221,30.9723,0.8328,2.1806,27.4737,1.0154
222,31.1680,0.8052,1.9982,27.6542,0.9760
223,31.3145,0.8176,2.2113,28.8312,0.9624
224,31.3213,0.8811,2.1427,28.9456,1.0554
225,31.2885,0.7629,2.1964,27.7078,1.0210
226,30.9992,0.7573,1.9452,27.8401,0.9834
227,31.3597,0.8313,2.0040,28.7552,0.9688
228,31.1603,0.7659,1.9814,28.5580,1.0175
229,31.7480,0.9364,2.2268,31.7873,1.1136
230,31.4333,1.0203,2.3815,30.2928,1.0923
231,30.6243,0.8684,2.1677,28.6241,1.0367
232,31.2658,0.8192,2.0342,28.5389,0.9916
233,31.6846,0.7645,2.2765,27.6661,1.0808
234,30.9713,0.8948,2.1845,27.9523,1.0482
235,31.1525,0.7579,2.1469,28.4894,1.0312
236,31.2400,0.7453,2.1681,28.4649,1.0131
237,31.2264,0.7618,2.1377,27.4459,0.9710
238,31.3734,0.9147,2.0671,27.6378,1.0460
239,31.1415,0.8193,2.0467,28.1709,1.0059
240,31.5658,0.8621,2.4095,31.4415,1.1095
241,31.5391,1.0306,2.4566,31.2261,1.0994
242,30.6904,0.7994,2.0637,27.4578,1.0686
243,31.2623,0.8145,2.0281,28.1469,1.0077
244,31.3660,0.8093,2.1140,28.1452,1.0635
245,31.2595,0.8452,2.0603,27.1322,1.0444
246,31.3005,0.8390,2.2108,26.7215,1.0677
247,31.0000,0.8239,2.0793,28.2387,1.0410
248,31.1086,0.7986,1.9242,27.9299,0.9908
249,32.1369,0.8276,2.3794,27.3662,1.0750
250,30.8524,0.9373,2.3218,27.7495,1.0577
251,31.5098,0.8450,2.3784,27.7495,1.1207
252,31.0497,0.9685,2.2858,30.0341,1.0671
253,30.8686,0.8637,2.1144,27.2995,1.0413
254,31.1332,0.7818,2.0045,27.3065,0.9668
255,31.3506,0.7921,1.9976,27.9437,1.0482
256,31.1273,0.7697,2.0779,28.1766,1.0343
257,31.5653,0.7665,2.1168,27.3152,1.1023
258,30.9826,0.7673,2.1483,27.3769,0.9910
259,31.5457,0.8039,2.0900,28.2380,0.9309
260,31.0152,0.8187,2.1093,27.9049,1.0071
261,31.3985,0.8649,2.1624,29.0125,1.0966
262,31.2984,0.8585,2.1898,30.0960,1.0158
263,31.5241,1.0186,2.4070,30.7933,1.0769
264,30.7592,0.8584,2.0963,28.3714,0.9529
265,31.5203,0.7675,2.2488,27.6522,1.0225
266,31.2547,0.9049,2.1760,27.6271,1.0877
267,31.0243,0.8733,2.0495,28.8133,0.9875
268,31.3585,0.7894,2.1609,28.5262,1.0568
269,31.3893,0.8101,2.3706,26.9570,1.1039
270,31.2140,0.8156,2.1617,27.6722,1.0513
271,31.2143,0.8665,2.1391,28.6278,1.0620
272,31.2739,0.8730,2.2380,29.3743,1.0830
273,31.3391,0.9345,2.3647,31.2247,1.1054
274,31.1812,0.8491,2.3580,29.5700,1.0980
275,31.0532,0.8550,2.0054,28.4108,0.9362
276,31.4801,0.8158,2.2330,28.2865,1.0139
277,31.3527,0.7996,2.2932,27.3658,1.0437
278,31.3612,0.9945,2.3554,27.4906,1.1626
279,30.7402,0.8686,2.0569,28.2723,0.9675
280,31.4982,0.7669,2.1921,28.3865,1.0444
281,31.3355,0.7978,2.4228,27.7172,1.0375
282,30.9514,0.9132,2.0841,28.0483,0.9361
283,31.4556,0.7597,2.2546,29.4465,1.1094
284,31.8283,1.0759,2.5061,30.9431,1.1492
